model,category,prompt,ttft_seconds,total_latency_seconds,tokens_per_second,response_length,peak_memory_mb,timestamp
phi4-mini,code,Write a Python function to check if a number is prime....,7.693,33.621,6.22,870,13943.43,10-04-2026 23:57:16
phi4-mini,code,Write a Python function to reverse a string....,0.762,8.34,8.99,296,13550.1,10-04-2026 23:57:25
phi4-mini,code,Write a Java program to find the largest element in an array...,1.111,41.536,9.97,2258,13480.8,10-04-2026 23:58:06
phi4-mini,code,Write a SQL query to find the second highest salary from an ...,1.009,59.691,9.85,2902,13551.5,10-04-2026 23:59:06
phi4-mini,code,Explain what a binary search algorithm is and write it in Py...,1.106,68.003,9.19,3201,13649.06,11-04-2026 00:00:14
phi4-mini,code,Write a Python function to count the frequency of each word ...,1.755,46.719,8.95,2335,15565.79,11-04-2026 00:01:01
phi4-mini,translation,"Translate 'Good morning, how are you?' to Hindi....",1.095,7.115,8.71,292,15255.68,11-04-2026 00:01:08
phi4-mini,translation,Translate 'I love programming' to French....,0.865,2.324,7.31,77,14679.32,11-04-2026 00:01:10
phi4-mini,translation,Translate 'Artificial intelligence is changing the world' to...,1.016,1.826,4.93,51,14683.5,11-04-2026 00:01:12
phi4-mini,translation,Translate 'Thank you for your help' to Japanese....,1.193,3.068,6.84,48,14694.67,11-04-2026 00:01:15
phi4-mini,translation,Translate 'What time is it?' to German....,0.945,10.342,10.15,447,14657.12,11-04-2026 00:01:25
phi4-mini,translation,Translate 'I am learning machine learning' to Tamil....,0.951,3.709,5.66,87,15131.0,11-04-2026 00:01:29
phi4-mini,writing,Write a professional email to a client apologising for a pro...,1.251,44.465,9.83,2543,15213.99,11-04-2026 00:02:14
phi4-mini,writing,Write a cover letter for a software engineer applying to a p...,1.164,30.961,10.53,1939,13892.14,11-04-2026 00:02:45
phi4-mini,writing,Write a LinkedIn post announcing a new job at a tech company...,1.069,24.53,10.4,1369,13991.61,11-04-2026 00:03:09
phi4-mini,writing,Write a resignation letter to a manager with a 2-week notice...,1.053,35.575,10.34,2057,13443.6,11-04-2026 00:03:45
phi4-mini,writing,Write a thank you email after a job interview....,0.912,26.07,10.59,1445,12905.83,11-04-2026 00:04:11
phi4-mini,writing,Write a short bio for a data science student's portfolio web...,1.367,20.825,10.52,1367,12553.31,11-04-2026 00:04:32
phi4-mini,qa,What is the difference between machine learning and deep lea...,1.006,18.084,10.51,1143,12618.55,11-04-2026 00:04:50
phi4-mini,qa,Explain how a transformer model works in simple terms....,1.202,18.276,10.34,1043,12771.23,11-04-2026 00:05:08
phi4-mini,qa,What is the CAP theorem in distributed systems?...,1.203,19.164,10.18,1083,12779.77,11-04-2026 00:05:27
phi4-mini,qa,What is the difference between supervised and unsupervised l...,2.081,23.195,9.96,1351,12209.36,11-04-2026 00:05:50
phi4-mini,qa,What is overfitting in machine learning and how do you preve...,1.2,25.812,10.81,1558,12258.34,11-04-2026 00:06:16
phi4-mini,qa,What is the difference between a process and a thread?...,0.996,38.23,11.17,2342,12410.18,11-04-2026 00:06:54
phi4-mini,documentation,Summarize the pros and cons of using microservices architect...,1.301,9.808,10.2,605,12385.32,11-04-2026 00:07:04
